# S1              S2
  2.1183650e+001  1.6977854e+003
  3.4047870e+001  4.3226985e+003
  3.7372180e+001  3.2681835e+003
  1.1032150e+001  1.6767378e+003
  6.3301730e+000  1.0148564e+003
  3.6747910e+001  3.6502419e+003
  3.0881750e+000  6.5282369e+002
  2.4163600e+001  4.5228339e+003
  2.6790900e+001  2.6765003e+003
  6.2860330e+000  1.1754486e+003
  3.9704950e+001  3.4920999e+003
  2.3019420e+001  4.2839893e+003
  2.6172980e+001  2.9630718e+003
  3.7837600e+001  4.2104797e+003
  3.0330390e+001  2.8587883e+003
  3.0943490e+001  3.7139606e+003
  1.3965220e+001  1.8954781e+003
  3.6833270e+001  2.7932852e+003
  7.5986270e+000  9.4076711e+002
  7.6298230e+000  1.2575766e+003
  2.4849210e+001  1.4916179e+003
  8.1551790e+000  1.4784733e+003
  3.2645750e+001  4.4736773e+003
  2.9151010e+000  5.1662284e+002
  3.0004230e+001  2.2530482e+003
  2.7441990e+001  3.3418550e+003
  3.6874630e+001  2.7876206e+003
  3.5743600e+001  4.3274224e+003
  2.3625640e+001  2.6060070e+003
  1.8274950e+001  1.7793329e+003
  1.5603240e+001  2.4792412e+003
  3.3904530e+001  4.1026336e+003
  2.9393260e+001  2.5009313e+003
  2.2937400e+001  2.9069274e+003
  9.4840070e+000  1.5470661e+003
  1.0739840e+001  1.3252469e+003
  6.2814520e+000  9.8251920e+002
  3.2499560e+001  2.6595642e+003
  3.7684970e+001  3.5362355e+003
  6.3105070e+000  1.1643251e+003
  2.0255380e+001  3.9407456e+003
  3.3321110e+001  3.1376497e+003
  8.4134190e+000  1.9113029e+003
  1.3137910e+001  1.2255733e+003
  1.8479680e+001  1.0755075e+003
  3.9054020e+001  3.5751045e+003
  2.2054880e+001  1.6821306e+003
  9.0913650e+000  1.2556341e+003
  3.0908190e+001  4.8670810e+003
  4.3520260e+000  1.4972402e+003
  6.2718010e+000  1.2052476e+003
  3.6569630e+001  3.7007144e+003
  8.6195480e+000  8.5153890e+002
  2.6023930e+001  1.6291380e+003
  3.2426120e+001  3.7741920e+003
  2.6869980e+001  1.7354629e+003
  2.2506960e+000  1.0838367e+003
  3.1445660e+001  2.9452402e+003
  2.4701040e+001  2.3865813e+003
  8.5203790e+000  1.6108011e+003
  2.7131910e+000  1.1933377e+003
  3.3066070e+001  2.7872863e+003
  1.0826530e+001  1.8234098e+003
  1.0011640e+001  8.6057797e+002
  2.8800640e+001  1.5000099e+003
  1.3281850e+001  1.7319509e+003
  9.6854120e+000  1.2946223e+003
  3.5399460e+001  4.5904857e+003
  1.2118160e+001  9.7183757e+002
  1.7241620e+001  1.9418115e+003
  3.8108480e+001  2.2422376e+003
  1.7080500e+001  1.7607820e+003
  8.3130000e+000  8.3845118e+002
  1.1494290e+001  1.5075897e+003
  1.6261380e+001  2.7891277e+003
  3.4222790e+001  3.1274719e+003
  1.1416030e+001  1.7207949e+003
  3.9015820e+001  6.0755380e+003
  2.2532570e+001  2.6587881e+003
  2.1081140e+001  1.5313522e+003
  2.1324200e+001  2.4594826e+003
  1.3017330e+001  1.8575603e+003
  3.9393370e+001  3.3353171e+003
  1.1768000e+001  1.9530468e+003
  2.3187400e+001  2.1207870e+003
  1.2861920e+001  2.9296369e+003
  4.8906250e+000  1.1423794e+003
  1.0201220e+001  1.1354163e+003
  2.8704130e+001  1.6635674e+003
  1.4516690e+001  9.5096296e+002
  1.9095510e+001  1.8013714e+003
  3.0675350e+000  9.5865541e+002
  3.9959850e+001  5.5524141e+003
  2.5979030e+001  1.9000627e+003
  5.5324620e+000  1.4466932e+003
  2.2362730e+001  3.2128971e+003
  3.7704350e+001  3.4107466e+003
  3.9867740e+000  7.8631691e+002
  1.0843930e+001  1.0505862e+003
  7.5919900e+000  9.5678559e+002
  3.6448590e+001  2.2431883e+003
  1.3358160e+001  2.5530578e+003
  2.7084470e+001  3.1408438e+003
  2.9861620e+001  2.9614156e+003
  1.2622520e+001  1.1376432e+003
  1.2892110e+001  1.1644263e+003
  3.0244420e+001  3.3523647e+003
  1.3254150e+001  9.8030424e+002
  1.7091400e+001  1.2944451e+003
  3.1370770e+001  2.6353068e+003
  2.4300500e+001  3.9177544e+003
  8.1072720e+000  1.0548817e+003
  2.7305510e+001  2.8422501e+003
  1.7483930e+001  1.4291673e+003
  3.0252640e+001  1.9864575e+003
  1.9080150e+001  6.8406880e+002
  6.1670510e+000  8.2315485e+002
  2.1146190e+001  1.6569413e+003
  5.4126070e+000  6.8647938e+002
  2.5956530e+001  4.8545909e+003
  1.9317080e+001  2.2474523e+003
  2.0664580e+001  3.0234973e+003
  1.0979740e+001  1.1407279e+003
  1.1561680e+001  1.0490470e+003
  3.5567790e+001  4.2260914e+003
  8.7160860e+000  9.7413356e+002
  3.1047090e+001  3.1531084e+003
  2.8272660e+000  1.6003120e+003
  5.9930920e+000  1.1662803e+003
  2.6766240e+001  3.2336378e+003
  3.0484150e+001  3.8390705e+003
  3.0402880e+001  3.3645635e+003
  2.8006300e+001  1.8551317e+003
  3.4061780e+001  2.1668475e+003
  3.0185800e+001  2.9999063e+003
  2.0470920e+001  2.2798925e+003
  1.6391360e+001  3.0369035e+003
  1.5638820e+001  1.8298057e+003
  4.7829080e+000  1.7722828e+003
  2.6760870e+001  2.2101779e+003
  2.3768550e+001  3.0290378e+003
  3.0568130e+001  3.2308059e+003
  1.3021240e+001  1.7309254e+003
  3.8454160e+001  3.5845227e+003
  6.5185610e+000  1.4225310e+003
  1.7841100e+001  1.5826418e+003
  2.5298050e+001  2.4731078e+003
  3.4736580e+001  3.1497353e+003
  2.2839040e+001  2.1710601e+003
  4.3223470e+000  1.1582269e+003
  2.3416200e+001  2.4807581e+003
  1.6335520e+000  2.8830752e+002
  3.6645650e+001  7.2147856e+003
  5.3425870e+000  9.8136283e+002
  1.4083940e+001  1.8616549e+003
  2.3841860e+001  3.6569341e+003
  2.8903210e+001  2.5499289e+003
  1.9449930e+001  1.4686085e+003
  3.2196080e+001  1.9529719e+003
  4.0693760e+000  9.8702651e+002
  1.1363640e+001  1.3752779e+003
  3.9110100e+001  4.4792564e+003
  3.2150780e+001  1.9317082e+003
  2.8486640e+001  2.7359378e+003
  3.1953320e+001  3.4414700e+003
  2.7971510e+001  1.5203197e+003
  3.6869650e+001  4.3446022e+003
  9.6525660e+000  1.5718380e+003
  6.9590630e+000  1.0044626e+003
  3.8634250e+001  2.6883851e+003
  2.7763110e+001  3.2439945e+003
  3.0600890e+001  1.7306612e+003
  9.3854850e+000  1.3785094e+003
  3.8906790e+001  5.9952100e+003
  1.1968220e+001  2.5882878e+003
  3.6578510e+001  2.9647700e+003
  2.3180800e+001  2.2789270e+003
  3.4241740e+000  9.5377476e+002
  2.1424900e+001  1.5498219e+003
  4.3950310e+000  9.0847074e+002
  2.1862260e+001  4.0529669e+003
  1.0752900e+001  7.7562109e+002
  2.1976920e+001  2.2006188e+003
  2.3806610e+001  2.1848798e+003
