# cS1 ebandflat_new
13.798269 0.011079
6.961385 -0.054285
12.897639 0.116583
21.694851 0.024078
17.334642 0.107683
20.667070 -0.208802
14.072380 0.026712
3.378683 -0.096215
4.039990 0.024097
6.382753 0.192171
29.513302 0.015455
16.345541 0.169206
16.679188 0.044287
16.205601 0.184508
25.927589 -0.120846
28.469717 0.052547
18.501762 0.148031
6.335681 -0.034057
15.538170 -0.071199
21.959002 -0.022933
9.292122 0.101349
9.790033 -0.084514
14.311621 0.028241
26.066147 0.074456
22.278084 -0.026788
8.875109 -0.173355
19.243441 0.091601
14.900270 -0.012401
7.703362 -0.089662
3.225972 -0.078174
23.985493 -0.098274
3.178177 0.227722
20.309978 -0.019013
3.694375 -0.060039
14.191034 -0.058673
17.957998 -0.153763
23.246328 0.168157
11.987484 0.095702
15.183125 0.007166
23.748730 0.005295
27.210205 0.129756
7.290195 -0.114887
13.161711 -0.026503
16.198347 -0.324801
22.835365 -0.032363
14.376124 0.042778
11.031772 -0.173409
26.264427 -0.036109
19.282948 0.145202
21.394941 -0.132031
10.999425 0.116675
6.131171 -0.311111
24.129265 0.096504
13.306159 0.084422
12.669194 -0.093004
22.377977 0.125334
14.689983 -0.182604
3.397967 0.045421
21.424879 -0.156786
19.787411 0.030965
6.678710 -0.058220
22.209373 -0.009867
11.865222 -0.145641
12.351261 0.187648
5.672085 -0.071724
28.808470 0.044654
25.441391 -0.069667
16.669500 0.093002
25.621201 0.008588
5.955376 0.004206
24.934303 0.214878
21.453514 -0.027871
13.313567 0.011200
14.409164 -0.152432
20.934046 -0.142060
4.802402 -0.109100
15.202776 0.189120
20.251072 0.044270
28.534149 -0.151925
7.915637 -0.135080
25.753265 -0.000331
11.314507 0.081922
26.217194 -0.012292
27.928274 0.011879
18.521805 -0.012499
16.459446 0.000856
11.400598 0.223973
11.900897 -0.021918
24.277788 -0.071006
20.637619 0.116511
17.195311 -0.054800
8.715424 0.013287
7.561954 0.022733
8.504208 -0.064810
12.714020 -0.067489
3.799711 0.288042
9.965628 0.232620
27.236958 0.232525
24.493692 0.077882
14.204220 0.032903
20.441778 -0.097723
23.644251 0.054709
6.402748 -0.272850
5.804821 -0.043326
26.486887 -0.132738
8.686574 -0.212428
21.289988 -0.110284
15.667911 0.004002
19.109949 -0.206378
14.981153 0.217789
12.786229 0.057097
25.102560 -0.068733
18.114225 -0.007449
25.198605 0.057785
13.665567 -0.019751
14.878273 0.353193
4.332739 0.030821
22.105959 -0.213838
8.444761 -0.069677
13.238465 0.102733
10.258134 -0.001798
7.950163 -0.000840
26.116842 0.116494
7.511990 0.105863
17.651943 0.024971
28.869707 0.115667
21.249355 0.195070
16.648462 -0.130575
17.784273 0.027673
17.046509 0.140954
16.320305 -0.205755
21.418278 -0.073922
8.419484 -0.050250
12.175795 0.035254
3.743165 0.003842
3.008238 0.015999
21.821476 -0.152384
15.607931 -0.113967
14.454810 -0.051489
3.242788 0.039219
8.618365 0.089696
12.697641 0.207087
15.985855 0.002260
7.009324 0.037044
25.485384 -0.031708
20.876221 0.031227
16.490883 0.304141
29.640608 0.217917
13.845368 -0.018715
19.019197 0.038178
20.627480 0.145368
7.444508 -0.045956
27.416151 -0.060455
24.990185 0.125533
11.289426 -0.066578
4.489584 0.026092
26.656857 0.122766
26.787102 -0.186772
9.716699 0.003579
9.686145 -0.056203
10.795072 -0.263902
13.518523 -0.118628
29.260101 0.068826
23.330748 0.019793
12.280283 -0.025787
5.743552 0.202253
10.977870 0.056415
29.325518 0.330833
29.925926 0.007816
24.248049 -0.092667
25.752148 0.197212
4.446034 0.012371
19.518482 -0.094154
20.034695 0.081918
17.960516 -0.054291
11.051585 0.000053
3.022528 -0.026441
5.773320 0.156689
3.084181 0.042599
19.704498 0.063477
18.333565 0.105180
13.578575 -0.070417
6.272009 -0.236479
18.621443 0.029086
28.292719 0.047186
12.493360 0.167409
25.556700 -0.101166
6.336044 0.230313
13.612537 -0.216583
16.298498 -0.117556
27.702330 0.104142
19.763683 0.167825
21.421949 0.010290
17.698612 0.124690
17.881338 0.093744
24.034737 0.183383
9.354627 0.065626
12.425971 -0.146810
9.334080 -0.023915
17.308392 -0.041597
7.635261 -0.031377
4.676990 0.025766
18.112101 0.288273
4.497903 -0.140176
14.211040 -0.010986
29.425352 -0.146134
12.456069 -0.006710
12.127685 0.270912
10.652958 0.201697
18.427204 0.138089
20.090672 -0.010364
15.586442 -0.137446
9.460657 -0.019239
14.344391 -0.258629
17.968447 -0.113592
23.201355 0.019669
15.248621 -0.114228
6.619580 0.000951
22.245945 -0.178304
28.193434 0.046619
21.510742 -0.174094
28.478865 -0.148654
19.182587 -0.101808
20.205952 -0.189562
15.263436 0.118014
12.185000 0.024919
28.625616 -0.171413
3.197588 -0.075048
18.106720 0.071855
21.834927 -0.173782
4.111223 0.067748
8.580276 -0.034904
12.448176 0.042955
20.076447 -0.012907
28.090313 -0.049058
20.682671 0.198982
7.519564 0.105600
7.364511 0.254026
18.494202 -0.032890
15.719664 0.045780
11.728062 0.013576
12.445947 -0.272645
29.765333 -0.042453
6.666559 0.179044
22.847340 -0.076242
25.157982 -0.150465
5.289660 0.031127
4.422638 0.113460
20.686041 -0.222877
22.557364 -0.257175
3.892701 -0.180910
9.100739 0.093016
8.658408 -0.231507
12.054410 0.152605
21.882545 -0.144766
3.153409 0.184070
14.112470 -0.014144
8.346676 0.088947
5.167720 0.002184
13.224842 0.100880
27.798983 0.031938
17.636959 -0.004273
17.258467 0.244083
8.419512 -0.089753
10.562015 0.075856
16.773584 0.006934
23.972786 0.168045
18.216646 0.053601
29.791637 0.158341
11.176412 0.107749
27.082205 -0.066710
9.131388 0.065277
24.013540 0.071008
7.279283 0.032965
29.995213 -0.005406
8.962570 -0.037595
6.162965 -0.035695
9.266130 -0.032349
6.971809 0.006212
24.373640 0.040508
4.670041 -0.054224
25.788761 -0.062156
15.965816 0.029792
15.604448 0.002010
20.192957 0.225411
19.259474 0.092850
29.751947 0.081083
20.240057 -0.023598
28.487242 0.003462
11.571941 0.020584
10.970922 0.082968
12.830226 0.035510
29.554697 0.154533
29.600817 0.031663
16.682753 0.084128
25.857658 0.168120
12.579424 0.066140
7.008148 -0.013864
23.143705 -0.074186
15.330479 -0.077175
7.058609 -0.087291
29.921152 -0.194487
21.732000 0.104820
23.706980 0.069250
18.612452 0.071962
24.531914 0.003655
14.584499 -0.054935
13.923395 -0.037636
27.567272 0.095280
11.164359 0.038342
13.249682 0.095897
10.416455 -0.000282
17.626440 0.096543
28.465313 0.050847
21.125219 -0.000416
21.323538 0.263192
21.412613 -0.028976
23.828812 -0.048271
8.856292 -0.084241
24.380245 0.053963
22.752405 -0.030557
24.923815 0.084454
8.962278 0.046927
28.450413 0.016710
23.950928 -0.176820
22.901611 0.045430
14.600547 0.041081
19.748878 -0.126121
23.144754 -0.348021
24.310394 -0.037790
13.474555 -0.094664
3.709871 -0.090602
23.914053 0.174480
9.617449 -0.256112
6.675646 0.357987
8.068248 0.243610
7.243850 0.139178
24.865191 0.099231
19.279768 -0.026136
16.487850 0.255731
7.356281 0.027984
16.552917 0.056224
23.119879 -0.049667
14.209773 0.023665
26.927122 -0.248302
27.046646 0.237246
21.685497 0.241068
13.028530 -0.029376
3.776412 0.323664
18.774603 0.128194
5.924284 -0.143201
17.714489 0.112704
11.420280 -0.094863
29.403091 0.090292
4.966616 0.316191
17.047569 -0.282623
