   Xe129
 Spin_n=   0.3285    Spin_p=   0.0100
  
  Set         u          S_p          S_n
  
    1    delta_a1(0)= -0.3139
    1     0.000  0.68728E-02  0.14816E+00
    1     0.007  0.67622E-02  0.14429E+00  
    1     0.015  0.66258E-02  0.13959E+00  
    1     0.027  0.64384E-02  0.13326E+00  
    1     0.042  0.62034E-02  0.12553E+00  
    1     0.060  0.59250E-02  0.11669E+00
    1     0.083  0.56086E-02  0.10702E+00  
    1     0.108  0.52599E-02  0.96846E-01  
    1     0.136  0.48857E-02  0.86458E-01  
    1     0.168  0.44928E-02  0.76142E-01
    1     0.204  0.40901E-02  0.66158E-01  
    1     0.243  0.36843E-02  0.56703E-01  
    1     0.285  0.32834E-02  0.47944E-01  
    1     0.329  0.28937E-02  0.39984E-01
    1     0.379  0.25254E-02  0.32934E-01  
    1     0.431  0.21805E-02  0.26776E-01  
    1     0.487  0.18648E-02  0.21512E-01  
    1     0.543  0.15787E-02  0.17065E-01
    1     0.608  0.13312E-02  0.13467E-01  
    1     0.671  0.11115E-02  0.10490E-01
    1     0.743  0.93185E-03  0.82153E-02  
    1     0.811  0.77426E-03  0.63471E-02
    1     0.891  0.65535E-03  0.50341E-02  
    1     0.966  0.54863E-03  0.39191E-02
    1     1.133  0.40975E-03  0.25964E-02
    1     1.314  0.33394E-03  0.19437E-02
    1     1.509  0.30294E-03  0.16947E-02
    1     1.717  0.30420E-03  0.17037E-02
    1     1.938  0.32854E-03  0.18866E-02
    1     2.173  0.36733E-03  0.21753E-02
    1     2.421  0.41100E-03  0.24960E-02
    1     2.683  0.44924E-03  0.27709E-02
    1     2.958  0.47280E-03  0.29327E-02
    1     3.100  0.47698E-03  0.29574E-02

 
    2    delta_a1(0)= -0.2528
    2     0.000  0.48261E-02  0.15868E+00
    2     0.060  0.42336E-02  0.12498E+00
    2     0.168  0.33049E-02  0.81547E-01
    2     0.329  0.22103E-02  0.42811E-01
    2     0.543  0.12559E-02  0.18258E-01
    2     0.671  0.90223E-03  0.11215E-01
    2     0.811  0.64069E-03  0.67795E-02
    2     0.966  0.46206E-03  0.41809E-02
    2     1.133  0.35034E-03  0.27656E-02
    2     1.314  0.28888E-03  0.20674E-02
