   Xe131
 Spin_n=  -0.2721    Spin_p=  -0.0086
  
  Set         u          S_p          S_n
  
    1    delta_a1(0)= -0.3139
    1     0.000  0.52930E-02  0.11295E+00
    1     0.007  0.52083E-02  0.11000E+00 
    1     0.015  0.51060E-02  0.10642E+00 
    1     0.027  0.49692E-02  0.10161E+00 
    1     0.042  0.48040E-02  0.95762E-01 
    1     0.061  0.46170E-02  0.89083E-01
    1     0.083  0.44159E-02  0.81814E-01 
    1     0.108  0.42079E-02  0.74210E-01 
    1     0.136  0.40001E-02  0.66506E-01 
    1     0.168  0.37989E-02  0.58931E-01
    1     0.204  0.36093E-02  0.51682E-01 
    1     0.243  0.34353E-02  0.44923E-01 
    1     0.285  0.32795E-02  0.38779E-01 
    1     0.330  0.31433E-02  0.33328E-01
    1     0.379  0.30268E-02  0.28615E-01 
    1     0.431  0.29292E-02  0.24637E-01 
    1     0.487  0.28490E-02  0.21371E-01 
    1     0.546  0.27841E-02  0.18759E-01
    1     0.608  0.27326E-02  0.16726E-01 
    1     0.674  0.26917E-02  0.15188E-01
    1     0.743  0.26600E-02  0.14055E-01 
    1     0.815  0.26345E-02  0.13241E-01
    1     0.891  0.26148E-02  0.12664E-01 
    1     0.970  0.25978E-02  0.12255E-01
    1     1.139  0.25701E-02  0.11715E-01
    1     1.320  0.25409E-02  0.11299E-01
    1     1.516  0.24989E-02  0.10846E-01
    1     1.725  0.24313E-02  0.10297E-01
    1     1.947  0.23255E-02  0.96368E-02
    1     2.183  0.21723E-02  0.88519E-02
    1     2.432  0.19693E-02  0.79294E-02
    1     2.695  0.17231E-02  0.68689E-02
    1     2.971  0.14489E-02  0.57005E-02
    1     3.114  0.13077E-02  0.50954E-02
 
    2    delta_a1(0)= -0.2529
    2     0.000  0.37260E-02  0.12096E+00
    2     0.061  0.33125E-02  0.95403E-01
    2     0.168  0.28339E-02  0.63109E-01
    2     0.330  0.24827E-02  0.35674E-01
    2     0.546  0.23198E-02  0.20045E-01
    2     0.674  0.22867E-02  0.16206E-01
    2     0.815  0.22707E-02  0.14108E-01
    2     0.970  0.22636E-02  0.13038E-01
    2     1.139  0.22595E-02  0.12447E-01
    2     1.320  0.22519E-02  0.11988E-01
